;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Barajas;;;;;;;;;;;
     Enero;104,5;90;135,2;221;146,1;97,4;200,1;109,7;176,2;170,9;208,8
     Febrero;173,5;108,2;203,9;243,1;150;113;155,4;156,4;130,4;159,9;243,9
     Marzo;242,3;177;160,3;272,8;138,3;228,2;219,4;243,4;206,8;165,5;299,8
     Abril;229,1;243;254,1;179,5;210,3;263,5;235;199,3;306,5;200;190,4
     Mayo;288;296,9;284,7;-;274,6;302,3;300,9;236,2;292,9;249,6;346,7
     Junio;283,6;278,3;336,5;348,1;346,2;337,4;334,8;346,8;331,2;293,2;360,6
     Julio;377,1;391,1;396,8;410,2;367,4;384,7;384,1;374,5;373,5;388,6;363,5
     Agosto;334,7;333,4;340,9;359;351;365,4;327,2;356,3;330,8;353;322,9
     Septiembre;234,5;261,9;305;265,6;282,3;255,6;261,9;288;201,2;287,9;255,6
     Octubre;229,4;223,8;262,7;206,5;202,2;213;170,7;173,9;273,2;197,3;223,6
     Noviembre;136,9;155,5;107,3;104,8;178,5;122,7;205,4;140,7;212,1;121;118,3
     Diciembre;92,9;126,2;181,2;123,8;187,4;197,2;151,7;153;165,8;155,3;123,3
Cuatro Vientos;;;;;;;;;;;
     Enero;127,4;118,3;148,1;232,3;153,5;122,9;218,8;121;181,1;191,7;225
     Febrero;188;137,2;211,6;265,6;172,1;130,9;177,6;171,9;145,1;182,4;254,6
     Marzo;252,5;181,9;158,2;255,6;159,4;221,1;217,6;239,4;222,3;175,1;289,3
     Abril;272,8;247,5;250,9;196,6;235,7;275,3;243,3;218,4;300,6;228,2;218,7
     Mayo;345,1;325,3;310,3;-;301,7;317;334;256,3;310,8;288;367,9
     Junio;323,2;295,7;358,1;344,8;356,6;340,4;342,6;369,3;333,1;321,8;369,5
     Julio;392;382,3;385,6;396,3;375;374,5;377,1;371,9;372,9;394,7;374,9
     Agosto;365,2;341,7;339,7;352,7;348,4;365,3;341,6;369;335,6;357,2;350,3
     Septiembre;251,5;254,6;284,5;252,2;277,3;245,5;251,6;275,4;290,7;266,4;253,3
     Octubre;255,1;236,1;263;215,5;212,2;221,3;176,1;195,5;278,9;213,2;231,2
     Noviembre;178,6;175,7;120,7;127;194,7;141,8;213;151,4;231,1;145,9;142
     Diciembre;116,7;132,8;190,6;133;189,8;210,6;155,3;167;182,5;175,2;143,7
;;;;;;;;;;;
;;;;;;;;;;;
FUENTE: AEMET: Agencia Estatal de Meteorología;;;;;;;;;;;
;;;;;;;;;;;
N. Territorio, Clima y Medio Ambiente;;;;;;;;;;;
 Climatología;;;;;;;;;;;
;;;;;;;;;;;
2.5. Fenómenos climatológicos diversos por Observatorio y Mes;;;;;;;;;;;
;;;;;;;;;;;
Insolación, horas de sol;;;;;;;;;;;