;Temperatura media mensual ºC
2009;
     Enero;6,3
     Febrero;7,9
     Marzo;11,2
     Abril;12,8
     Mayo;16,6
     Junio;22,1
     Julio;25,3
     Agosto;24,9
     Septiembre;20,9
     Octubre;15
     Noviembre;9,8
     Diciembre;6,9
2010;
     Enero;6,3
     Febrero;7,9
     Marzo;11,3
     Abril;12,8
     Mayo;16,7
     Junio;22,1
     Julio;25,4
     Agosto;25,1
     Septiembre;20,9
     Octubre;15,1
     Noviembre;9,9
     Diciembre;6,8
2011;
     Enero;6,3
     Febrero;7,9
     Marzo;11,2
     Abril;12,9
     Mayo;16,7
     Junio;22,2
     Julio;25,6
     Agosto;25,1
     Septiembre;20,9
     Octubre;15,1
     Noviembre;9,9
     Diciembre;6,9
2012;
     Enero;6,3
     Febrero;7,9
     Marzo;11,2
     Abril;13,1
     Mayo;16,9
     Junio;22,2
     Julio;25,6
     Agosto;25,1
     Septiembre;21
     Octubre;15,1
     Noviembre;9,9
     Diciembre;6,8
2013;
     Enero;6,2
     Febrero;7,8
     Marzo;11,2
     Abril;13
     Mayo;16,9
     Junio;22,3
     Julio;25,7
     Agosto;25,2
     Septiembre;21
     Octubre;15,2
     Noviembre;9,9
     Diciembre;6,8
2014;
     Enero;6,2
     Febrero;7,9
     Marzo;11,1
     Abril;13,1
     Mayo;17
     Junio;22,2
     Julio;25,7
     Agosto;25,4
     Septiembre;21
     Octubre;15,1
     Noviembre;9,8
     Diciembre;6,8
2015;
     Enero;6,3
     Febrero;7,9
     Marzo;11,2
     Abril;13,1
     Mayo;17,2
     Junio;22,3
     Julio;25,7
     Agosto;25,5
     Septiembre;21,1
     Octubre;15,3
     Noviembre;9,8
     Diciembre;6,8
2016;
     Enero;6,3
     Febrero;7,8
     Marzo;11,3
     Abril;13,2
     Mayo;17,4
     Junio;22,4
     Julio;25,8
     Agosto;25,5
     Septiembre;20,9
     Octubre;15,2
     Noviembre;10
     Diciembre;7
2017;
     Enero;6,5
     Febrero;7,9
     Marzo;11,3
     Abril;13,3
     Mayo;17,3
     Junio;22,4
     Julio;25,9
     Agosto;25,6
     Septiembre;21
     Octubre;15,3
     Noviembre;10
     Diciembre;7
2018;
     Enero;6,5
     Febrero;8
     Marzo;11,3
     Abril;13,4
     Mayo;17,4
     Junio;22,6
     Julio;26
     Agosto;25,6
     Septiembre;20,9
     Octubre;15,5
     Noviembre;10
     Diciembre;7
2019;
     Enero;6,5
     Febrero;7,9
     Marzo;11,2
     Abril;13,4
     Mayo;17,4
     Junio;22,7
     Julio;26,1
     Agosto;25,7
     Septiembre;21
     Octubre;15,5
     Noviembre;10
     Diciembre;7
;
;
FUENTE: AEMET: Agencia Estatal de Meteorología;
N. Territorio, Clima y Medio Ambiente;
 Climatología;
;
2.2. Temperatura media, Precipitación y su comparación con las de los últimos 30 años. (Observatorio de Retiro);
;