;Total viajeros;EMT;Metro  y Suburbano
2008;;;
     Total;1.124.215;434.520;689.695
2009;;;
     Total;1.079.324;426.425;652.899
2010;;;
     Total;1.071.444;439.380;632.064
2011;;;
     Total;1.066.362;427.587;639.775
2012;;;
     Total;1.011.775;405.486;606.289
2013;;;
     Total;967.070;404.102;562.967
2014;;;
     Total;963.628;402.241;561.387
2015;;;
     Total;981.896;405.923;575.973
2016;;;
     Total;1.016.142;430.109;586.032
2017;;;
     Total;1.059.591;427.931;631.660
2018;;;
     Total;1.083.079;420.197;662.882
2019;;;
     Total;1.122.723;439.787;683.336
;;;
;;;
FUENTE: Empresa Municipal de Transportes de Madrid, S.A., Metro de Madrid, S.A.;;;
OBSERVACIONES: En el años 2001 y 2002 hay un apartado llamado Regularización al acabar los meses que corresponde a las cifras de viajeros registrados de enero a diciembre. La regularización de final de ejercicio refleja los viajeros no registrados por canceladoras en EMT que son 5.555 para 2001 y 3.923 para 2002.;;;
;;;
Transportes colectivos;;;
 E.M.T. y Metro de Madrid;;;
;;;
5.1.1.B. Viajeros transportados por la Empresa Municipal de Transportes y por el Metro de Madrid por Mes (miles);;;